Entity,Day,Weekly deaths
Brazil,2020-01-09,0
Brazil,2020-01-10,0
Brazil,2020-01-11,0
Brazil,2020-01-12,0
Brazil,2020-01-13,0
Brazil,2020-01-14,0
Brazil,2020-01-15,0
Brazil,2020-01-16,0
Brazil,2020-01-17,0
Brazil,2020-01-18,0
Brazil,2020-01-19,0
Brazil,2020-01-20,0
Brazil,2020-01-21,0
Brazil,2020-01-22,0
Brazil,2020-01-23,0
Brazil,2020-01-24,0
Brazil,2020-01-25,0
Brazil,2020-01-26,0
Brazil,2020-01-27,0
Brazil,2020-01-28,0
Brazil,2020-01-29,0
Brazil,2020-01-30,0
Brazil,2020-01-31,0
Brazil,2020-02-01,0
Brazil,2020-02-02,0
Brazil,2020-02-03,0
Brazil,2020-02-04,0
Brazil,2020-02-05,0
Brazil,2020-02-06,0
Brazil,2020-02-07,0
Brazil,2020-02-08,0
Brazil,2020-02-09,0
Brazil,2020-02-10,0
Brazil,2020-02-11,0
Brazil,2020-02-12,0
Brazil,2020-02-13,0
Brazil,2020-02-14,0
Brazil,2020-02-15,0
Brazil,2020-02-16,0
Brazil,2020-02-17,0
Brazil,2020-02-18,0
Brazil,2020-02-19,0
Brazil,2020-02-20,0
Brazil,2020-02-21,0
Brazil,2020-02-22,0
Brazil,2020-02-23,0
Brazil,2020-02-24,0
Brazil,2020-02-25,0
Brazil,2020-02-26,0
Brazil,2020-02-27,0
Brazil,2020-02-28,0
Brazil,2020-02-29,0
Brazil,2020-03-01,0
Brazil,2020-03-02,0
Brazil,2020-03-03,0
Brazil,2020-03-04,0
Brazil,2020-03-05,0
Brazil,2020-03-06,0
Brazil,2020-03-07,0
Brazil,2020-03-08,0
Brazil,2020-03-09,0
Brazil,2020-03-10,0
Brazil,2020-03-11,0
Brazil,2020-03-12,0
Brazil,2020-03-13,0
Brazil,2020-03-14,0
Brazil,2020-03-15,0
Brazil,2020-03-16,0
Brazil,2020-03-17,0
Brazil,2020-03-18,0
Brazil,2020-03-19,1
Brazil,2020-03-20,4
Brazil,2020-03-21,4
Brazil,2020-03-22,11
Brazil,2020-03-23,11
Brazil,2020-03-24,25
Brazil,2020-03-25,34
Brazil,2020-03-26,45
Brazil,2020-03-27,53
Brazil,2020-03-28,73
Brazil,2020-03-29,81
Brazil,2020-03-30,103
Brazil,2020-03-31,111
Brazil,2020-04-01,125
Brazil,2020-04-02,155
Brazil,2020-04-03,184
Brazil,2020-04-04,222
Brazil,2020-04-05,267
Brazil,2020-04-06,318
Brazil,2020-04-07,350
Brazil,2020-04-08,394
Brazil,2020-04-09,466
Brazil,2020-04-10,559
Brazil,2020-04-11,642
Brazil,2020-04-12,697
Brazil,2020-04-13,692
Brazil,2020-04-14,737
Brazil,2020-04-15,775
Brazil,2020-04-16,865
Brazil,2020-04-17,936
Brazil,2020-04-18,983
Brazil,2020-04-19,1085
Brazil,2020-04-20,1223
Brazil,2020-04-21,1239
Brazil,2020-04-22,1247
Brazil,2020-04-23,1209
Brazil,2020-04-24,1170
Brazil,2020-04-25,1389
Brazil,2020-04-26,1529
Brazil,2020-04-27,1669
Brazil,2020-04-28,1743
Brazil,2020-04-29,1968
Brazil,2020-04-30,2276
Brazil,2020-05-01,2560
Brazil,2020-05-02,2588
Brazil,2020-05-03,2659
Brazil,2020-05-04,2734
Brazil,2020-05-05,2820
Brazil,2020-05-06,2778
Brazil,2020-05-07,2904
Brazil,2020-05-08,3070
Brazil,2020-05-09,3245
Brazil,2020-05-10,3568
Brazil,2020-05-11,3877
Brazil,2020-05-12,4098
Brazil,2020-05-13,4198
Brazil,2020-05-14,4479
Brazil,2020-05-15,4613
Brazil,2020-05-16,4847
Brazil,2020-05-17,4920
Brazil,2020-05-18,5006
Brazil,2020-05-19,4995
Brazil,2020-05-20,5273
Brazil,2020-05-21,5571
Brazil,2020-05-22,5710
Brazil,2020-05-23,6054
Brazil,2020-05-24,6231
Brazil,2020-05-25,6380
Brazil,2020-05-26,6548
Brazil,2020-05-27,6681
Brazil,2020-05-28,6541
Brazil,2020-05-29,6739
Brazil,2020-05-30,6707
Brazil,2020-05-31,6830
Brazil,2020-06-01,6821
Brazil,2020-06-02,6648
Brazil,2020-06-03,6464
Brazil,2020-06-04,6687
Brazil,2020-06-05,6950
Brazil,2020-06-06,7267
Brazil,2020-06-07,7148
Brazil,2020-06-08,7096
Brazil,2020-06-09,7141
Brazil,2020-06-10,7197
Brazil,2020-06-11,7207
Brazil,2020-06-12,7132
Brazil,2020-06-13,6898
Brazil,2020-06-14,6802
Brazil,2020-06-15,6790
Brazil,2020-06-16,6877
Brazil,2020-06-17,6825
Brazil,2020-06-18,6835
Brazil,2020-06-19,6830
Brazil,2020-06-20,6829
Brazil,2020-06-21,7126
Brazil,2020-06-22,7256
Brazil,2020-06-23,7285
Brazil,2020-06-24,7312
Brazil,2020-06-25,7404
Brazil,2020-06-26,7320
Brazil,2020-06-27,7223
Brazil,2020-06-28,7007
Brazil,2020-06-29,7094
Brazil,2020-06-30,7005
Brazil,2020-07-01,7043
Brazil,2020-07-02,6949
Brazil,2020-07-03,6802
Brazil,2020-07-04,6913
Brazil,2020-07-05,7213
Brazil,2020-07-06,7195
Brazil,2020-07-07,7245
Brazil,2020-07-08,7173
Brazil,2020-07-09,7147
Brazil,2020-07-10,7332
Brazil,2020-07-11,7300
Brazil,2020-07-12,7224
Brazil,2020-07-13,7204
Brazil,2020-07-14,7233
Brazil,2020-07-15,7346
Brazil,2020-07-16,7392
Brazil,2020-07-17,7402
Brazil,2020-07-18,7504
Brazil,2020-07-19,7453
Brazil,2020-07-20,7303
Brazil,2020-07-21,7388
Brazil,2020-07-22,7287
Brazil,2020-07-23,7354
Brazil,2020-07-24,7405
Brazil,2020-07-25,7394
Brazil,2020-07-26,7387
Brazil,2020-07-27,7677
Brazil,2020-07-28,7516
Brazil,2020-07-29,7498
Brazil,2020-07-30,7052
Brazil,2020-07-31,7363
Brazil,2020-08-01,7181
Brazil,2020-08-02,7237
Brazil,2020-08-03,7114
Brazil,2020-08-04,7100
Brazil,2020-08-05,7047
Brazil,2020-08-06,7280
Brazil,2020-08-07,7122
Brazil,2020-08-08,7230
Brazil,2020-08-09,7097
Brazil,2020-08-10,6914
Brazil,2020-08-11,6945
Brazil,2020-08-12,7087
Brazil,2020-08-13,7207
Brazil,2020-08-14,6945
Brazil,2020-08-15,6970
Brazil,2020-08-16,6951
Brazil,2020-08-17,6755
Brazil,2020-08-18,6803
Brazil,2020-08-19,6784
Brazil,2020-08-20,6862
Brazil,2020-08-21,6899
Brazil,2020-08-22,6841
Brazil,2020-08-23,6835
Brazil,2020-08-24,7018
Brazil,2020-08-25,6892
Brazil,2020-08-26,6773
Brazil,2020-08-27,6692
Brazil,2020-08-28,6565
Brazil,2020-08-29,6345
Brazil,2020-08-30,6146
Brazil,2020-08-31,6212
Brazil,2020-09-01,6084
Brazil,2020-09-02,6072
Brazil,2020-09-03,6016
Brazil,2020-09-04,6115
Brazil,2020-09-05,5965
Brazil,2020-09-06,6017
Brazil,2020-09-07,5741
Brazil,2020-09-08,5822
Brazil,2020-09-09,5579
Brazil,2020-09-10,4868
Brazil,2020-09-11,4759
Brazil,2020-09-12,4908
Brazil,2020-09-13,4875
Brazil,2020-09-14,5007
Brazil,2020-09-15,4975
Brazil,2020-09-16,5046
Brazil,2020-09-17,5655
Brazil,2020-09-18,5567
Brazil,2020-09-19,5413
Brazil,2020-09-20,5397
Brazil,2020-09-21,5322
Brazil,2020-09-22,5270
Brazil,2020-09-23,5266
Brazil,2020-09-24,4989
Brazil,2020-09-25,4871
Brazil,2020-09-26,4873
Brazil,2020-09-27,4744
Brazil,2020-09-28,4874
Brazil,2020-09-29,4846
Brazil,2020-09-30,4786
Brazil,2020-10-01,4813
Brazil,2020-10-02,4975
Brazil,2020-10-03,4872
Brazil,2020-10-04,4851
Brazil,2020-10-05,4581
Brazil,2020-10-06,4611
Brazil,2020-10-07,4617
Brazil,2020-10-08,4573
Brazil,2020-10-09,4276
Brazil,2020-10-10,4277
Brazil,2020-10-11,4251
Brazil,2020-10-12,4211
Brazil,2020-10-13,4136
Brazil,2020-10-14,4014
Brazil,2020-10-15,3504
Brazil,2020-10-16,3519
Brazil,2020-10-17,3503
Brazil,2020-10-18,3575
Brazil,2020-10-19,3477
Brazil,2020-10-20,3417
Brazil,2020-10-21,3487
Brazil,2020-10-22,3839
Brazil,2020-10-23,3656
Brazil,2020-10-24,3440
Brazil,2020-10-25,3257
Brazil,2020-10-26,3228
Brazil,2020-10-27,3229
Brazil,2020-10-28,3221
Brazil,2020-10-29,3109
Brazil,2020-10-30,3053
Brazil,2020-10-31,3069
Brazil,2020-11-01,3006
Brazil,2020-11-02,2981
Brazil,2020-11-03,2940
Brazil,2020-11-04,2856
Brazil,2020-11-05,2550
Brazil,2020-11-06,2650
Brazil,2020-11-07,2767
Brazil,2020-11-08,2538
Brazil,2020-11-09,2385
Brazil,2020-11-10,2323
Brazil,2020-11-11,2375
Brazil,2020-11-12,2333
Brazil,2020-11-13,2267
Brazil,2020-11-14,2545
Brazil,2020-11-15,2722
Brazil,2020-11-16,3389
Brazil,2020-11-17,3401
Brazil,2020-11-18,3386
Brazil,2020-11-19,3870
Brazil,2020-11-20,4082
Brazil,2020-11-21,3780
Brazil,2020-11-22,3876
Brazil,2020-11-23,3331
Brazil,2020-11-24,3385
Brazil,2020-11-25,3471
Brazil,2020-11-26,3416
Brazil,2020-11-27,3314
Brazil,2020-11-28,3399
Brazil,2020-11-29,3361
Brazil,2020-11-30,3572
Brazil,2020-12-01,3650
Brazil,2020-12-02,3635
Brazil,2020-12-03,3702
Brazil,2020-12-04,3746
Brazil,2020-12-05,3810
Brazil,2020-12-06,3990
Brazil,2020-12-07,4067
Brazil,2020-12-08,4108
Brazil,2020-12-09,4197
Brazil,2020-12-10,4342
Brazil,2020-12-11,4480
Brazil,2020-12-12,4495
Brazil,2020-12-13,4473
Brazil,2020-12-14,4495
Brazil,2020-12-15,4461
Brazil,2020-12-16,4518
Brazil,2020-12-17,4640
Brazil,2020-12-18,4740
Brazil,2020-12-19,5062
Brazil,2020-12-20,5213
Brazil,2020-12-21,5233
Brazil,2020-12-22,5362
Brazil,2020-12-23,5456
Brazil,2020-12-24,5460
Brazil,2020-12-25,5485
Brazil,2020-12-26,5179
Brazil,2020-12-27,4838
Brazil,2020-12-28,4439
Brazil,2020-12-29,4375
Brazil,2020-12-30,4279
Brazil,2020-12-31,4422
Brazil,2021-01-01,4655
Brazil,2021-01-02,4943
Brazil,2021-01-03,4923
Brazil,2021-01-04,4930
Brazil,2021-01-05,4879
Brazil,2021-01-06,4991
Brazil,2021-01-07,5051
Brazil,2021-01-08,5099
Brazil,2021-01-09,5549
Brazil,2021-01-10,6049
Brazil,2021-01-11,6906
Brazil,2021-01-12,7082
Brazil,2021-01-13,7019
Brazil,2021-01-14,6958
Brazil,2021-01-15,6990
Brazil,2021-01-16,6597
Brazil,2021-01-17,6786
Brazil,2021-01-18,6665
Brazil,2021-01-19,6747
Brazil,2021-01-20,6719
Brazil,2021-01-21,6801
Brazil,2021-01-22,6867
Brazil,2021-01-23,7052
Brazil,2021-01-24,6997
Brazil,2021-01-25,7149
Brazil,2021-01-26,7190
Brazil,2021-01-27,7365
Brazil,2021-01-28,7387
Brazil,2021-01-29,7330
Brazil,2021-01-30,7400
Brazil,2021-01-31,7423
Brazil,2021-02-01,7500
Brazil,2021-02-02,7467
Brazil,2021-02-03,7435
Brazil,2021-02-04,7431
Brazil,2021-02-05,7402
Brazil,2021-02-06,7248
Brazil,2021-02-07,7368
Brazil,2021-02-08,7067
Brazil,2021-02-09,7030
Brazil,2021-02-10,7071
Brazil,2021-02-11,7211
Brazil,2021-02-12,7287
Brazil,2021-02-13,7406
Brazil,2021-02-14,7455
Brazil,2021-02-15,7520
Brazil,2021-02-16,7711
Brazil,2021-02-17,7603
Brazil,2021-02-18,7420
Brazil,2021-02-19,7240
Brazil,2021-02-20,7256
Brazil,2021-02-21,7276
Brazil,2021-02-22,7445
Brazil,2021-02-23,7259
Brazil,2021-02-24,7370
Brazil,2021-02-25,7589
Brazil,2021-02-26,7867
Brazil,2021-02-27,8041
Brazil,2021-02-28,8070
Brazil,2021-03-01,8244
Brazil,2021-03-02,8438
Brazil,2021-03-03,8577
Brazil,2021-03-04,8832
Brazil,2021-03-05,9314
Brazil,2021-03-06,9472
Brazil,2021-03-07,9935
Brazil,2021-03-08,10104
Brazil,2021-03-09,10469
Brazil,2021-03-10,10678
Brazil,2021-03-11,11009
Brazil,2021-03-12,11385
Brazil,2021-03-13,11919
Brazil,2021-03-14,12335
Brazil,2021-03-15,12777
Brazil,2021-03-16,12818
Brazil,2021-03-17,12888
Brazil,2021-03-18,13757
Brazil,2021-03-19,14119
Brazil,2021-03-20,14610
Brazil,2021-03-21,15209
Brazil,2021-03-22,15650
Brazil,2021-03-23,15813
Brazil,2021-03-24,16139
Brazil,2021-03-25,16549
Brazil,2021-03-26,15910
Brazil,2021-03-27,15963
Brazil,2021-03-28,16798
Brazil,2021-03-29,17798
Brazil,2021-03-30,18164
Brazil,2021-03-31,18441
Brazil,2021-04-01,18970
Brazil,2021-04-02,20830
Brazil,2021-04-03,21822
Brazil,2021-04-04,21094
Brazil,2021-04-05,19643
Brazil,2021-04-06,19227
Brazil,2021-04-07,18886
Brazil,2021-04-08,19301
Brazil,2021-04-09,19261
Brazil,2021-04-10,19741
Brazil,2021-04-11,20512
Brazil,2021-04-12,21141
Brazil,2021-04-13,21704
Brazil,2021-04-14,21865
Brazil,2021-04-15,21478
Brazil,2021-04-16,21108
Brazil,2021-04-17,20419
Brazil,2021-04-18,20031
Brazil,2021-04-19,20344
Brazil,2021-04-20,20198
Brazil,2021-04-21,20065
Brazil,2021-04-22,19578
Brazil,2021-04-23,19591
Brazil,2021-04-24,18058
Brazil,2021-04-25,17667
Brazil,2021-04-26,17814
Brazil,2021-04-27,17462
Brazil,2021-04-28,17254
Brazil,2021-04-29,17019
Brazil,2021-04-30,16710
Brazil,2021-05-01,17684
Brazil,2021-05-02,17365
Brazil,2021-05-03,16945
Brazil,2021-05-04,16842
Brazil,2021-05-05,16686
Brazil,2021-05-06,16566
Brazil,2021-05-07,16214
Brazil,2021-05-08,15763
Brazil,2021-05-09,15333
Brazil,2021-05-10,14879
Brazil,2021-05-11,14701
Brazil,2021-05-12,14607
Brazil,2021-05-13,13952
Brazil,2021-05-14,13635
Brazil,2021-05-15,13468
Brazil,2021-05-16,13514
Brazil,2021-05-17,13399
Brazil,2021-05-18,13411
Brazil,2021-05-19,13308
Brazil,2021-05-20,13510
Brazil,2021-05-21,13657
Brazil,2021-05-22,13677
Brazil,2021-05-23,13681
Brazil,2021-05-24,13493
Brazil,2021-05-25,13317
Brazil,2021-05-26,13321
Brazil,2021-05-27,12981
Brazil,2021-05-28,12738
Brazil,2021-05-29,12580
Brazil,2021-05-30,12736
Brazil,2021-05-31,12849
Brazil,2021-06-01,12863
Brazil,2021-06-02,12933
Brazil,2021-06-03,13168
Brazil,2021-06-04,13277
Brazil,2021-06-05,12714
Brazil,2021-06-06,11797
Brazil,2021-06-07,11474
Brazil,2021-06-08,11473
Brazil,2021-06-09,11623
Brazil,2021-06-10,11593
Brazil,2021-06-11,11809
Brazil,2021-06-12,12631
Brazil,2021-06-13,13393
Brazil,2021-06-14,13741
Brazil,2021-06-15,13997
Brazil,2021-06-16,13814
Brazil,2021-06-17,13904
Brazil,2021-06-18,14178
Brazil,2021-06-19,13985
Brazil,2021-06-20,14264
Brazil,2021-06-21,14528
Brazil,2021-06-22,14424
Brazil,2021-06-23,14358
Brazil,2021-06-24,14021
Brazil,2021-06-25,13416
Brazil,2021-06-26,13137
Brazil,2021-06-27,12643
Brazil,2021-06-28,11935
Brazil,2021-06-29,11649
Brazil,2021-06-30,11506
Brazil,2021-07-01,11268
Brazil,2021-07-02,10957
Brazil,2021-07-03,10954
Brazil,2021-07-04,10810
Brazil,2021-07-05,10852
Brazil,2021-07-06,10943
Brazil,2021-07-07,11020
Brazil,2021-07-08,10907
Brazil,2021-07-09,10474
Brazil,2021-07-10,10084
Brazil,2021-07-11,9736
Brazil,2021-07-12,9306
Brazil,2021-07-13,9071
Brazil,2021-07-14,9121
Brazil,2021-07-15,8946
Brazil,2021-07-16,8854
Brazil,2021-07-17,8763
Brazil,2021-07-18,8710
Brazil,2021-07-19,8373
Brazil,2021-07-20,8726
Brazil,2021-07-21,8523
Brazil,2021-07-22,8342
Brazil,2021-07-23,8210
Brazil,2021-07-24,8074
Brazil,2021-07-25,7942
Brazil,2021-07-26,8182
Brazil,2021-07-27,7710
Brazil,2021-07-28,7746
Brazil,2021-07-29,7655
Brazil,2021-07-30,7575
Brazil,2021-07-31,7481
Brazil,2021-08-01,7120
Brazil,2021-08-02,6922
Brazil,2021-08-03,6910
Brazil,2021-08-04,6721
Brazil,2021-08-05,6597
Brazil,2021-08-06,6428
Brazil,2021-08-07,6209
Brazil,2021-08-08,6302
Brazil,2021-08-09,6382
Brazil,2021-08-10,6317
Brazil,2021-08-11,6339
Brazil,2021-08-12,6341
Brazil,2021-08-13,6141
Brazil,2021-08-14,6190
Brazil,2021-08-15,6100
Brazil,2021-08-16,6036
Brazil,2021-08-17,5907
Brazil,2021-08-18,5930
Brazil,2021-08-19,5825
Brazil,2021-08-20,5914
Brazil,2021-08-21,5745
Brazil,2021-08-22,5649
Brazil,2021-08-23,5421
Brazil,2021-08-24,5469
Brazil,2021-08-25,5356
Brazil,2021-08-26,5144
Brazil,2021-08-27,4983
Brazil,2021-08-28,4924
Brazil,2021-08-29,4815
Brazil,2021-08-30,4801
Brazil,2021-08-31,4781
Brazil,2021-09-01,4726
Brazil,2021-09-02,4671
Brazil,2021-09-03,4505
Brazil,2021-09-04,4349
Brazil,2021-09-05,4344
Brazil,2021-09-06,4352
Brazil,2021-09-07,4320
Brazil,2021-09-08,4236
Brazil,2021-09-09,3758
Brazil,2021-09-10,3271
Brazil,2021-09-11,3260
Brazil,2021-09-12,3176
Brazil,2021-09-13,3196
Brazil,2021-09-14,3223
Brazil,2021-09-15,3256
Brazil,2021-09-16,3626
Brazil,2021-09-17,4176
Brazil,2021-09-18,4066
Brazil,2021-09-19,3727
Brazil,2021-09-20,3950
Brazil,2021-09-21,3901
Brazil,2021-09-22,3889
Brazil,2021-09-23,3643
Brazil,2021-09-24,3719
Brazil,2021-09-25,3724
Brazil,2021-09-26,4090
Brazil,2021-09-27,3692
Brazil,2021-09-28,3691
Brazil,2021-09-29,3698
Brazil,2021-09-30,4006
Brazil,2021-10-01,3806
Brazil,2021-10-02,3785
Brazil,2021-10-03,3562
Brazil,2021-10-04,3523
Brazil,2021-10-05,3505
Brazil,2021-10-06,3499
Brazil,2021-10-07,3383
Brazil,2021-10-08,3237
Brazil,2021-10-09,3061
Brazil,2021-10-10,3200
Brazil,2021-10-11,3106
Brazil,2021-10-12,3063
Brazil,2021-10-13,3061
Brazil,2021-10-14,2569
Brazil,2021-10-15,2215
Brazil,2021-10-16,2289
Brazil,2021-10-17,2244
Brazil,2021-10-18,2323
Brazil,2021-10-19,2271
Brazil,2021-10-20,2252
Brazil,2021-10-21,2457
Brazil,2021-10-22,2654
Brazil,2021-10-23,2580
Brazil,2021-10-24,2470
Brazil,2021-10-25,2305
Brazil,2021-10-26,2362
Brazil,2021-10-27,2339
Brazil,2021-10-28,2391
Brazil,2021-10-29,2451
Brazil,2021-10-30,2389
Brazil,2021-10-31,2323
Brazil,2021-11-01,2237
Brazil,2021-11-02,2180
Brazil,2021-11-03,2118
Brazil,2021-11-04,1825
Brazil,2021-11-05,1556
Brazil,2021-11-06,1603
Brazil,2021-11-07,1598
Brazil,2021-11-08,1694
Brazil,2021-11-09,1623
Brazil,2021-11-10,1651
Brazil,2021-11-11,1685
Brazil,2021-11-12,1801
Brazil,2021-11-13,1553
Brazil,2021-11-14,1431
Brazil,2021-11-15,1834
Brazil,2021-11-16,1836
Brazil,2021-11-17,1773
Brazil,2021-11-18,1722
Brazil,2021-11-19,1815
Brazil,2021-11-20,1920
Brazil,2021-11-21,1879
Brazil,2021-11-22,1365
Brazil,2021-11-23,1376
Brazil,2021-11-24,1436
Brazil,2021-11-25,1588
Brazil,2021-11-26,1488
Brazil,2021-11-27,1498
Brazil,2021-11-28,1587
Brazil,2021-11-29,1599
Brazil,2021-11-30,1619
Brazil,2021-12-01,1594
Brazil,2021-12-02,1615
Brazil,2021-12-03,1625
Brazil,2021-12-04,1537
Brazil,2021-12-05,1443
Brazil,2021-12-06,1384
Brazil,2021-12-07,1358
Brazil,2021-12-08,1368
Brazil,2021-12-09,1337
Brazil,2021-12-10,1287
Brazil,2021-12-11,1278
Brazil,2021-12-12,1291
Brazil,2021-12-13,1174
Brazil,2021-12-14,1194
Brazil,2021-12-15,1134
Brazil,2021-12-16,952
Brazil,2021-12-17,1020
Brazil,2021-12-18,938
Brazil,2021-12-19,910
Brazil,2021-12-20,1010
Brazil,2021-12-21,973
Brazil,2021-12-22,995
Brazil,2021-12-23,978
Brazil,2021-12-24,820
Brazil,2021-12-25,833
Brazil,2021-12-26,791
Brazil,2021-12-27,638
Brazil,2021-12-28,645
Brazil,2021-12-29,661
Brazil,2021-12-30,757
Brazil,2021-12-31,726
Brazil,2022-01-01,756
Brazil,2022-01-02,664
Brazil,2022-01-03,713
Brazil,2022-01-04,685
Brazil,2022-01-05,675
Brazil,2022-01-06,679
Brazil,2022-01-07,696
Brazil,2022-01-08,657
Brazil,2022-01-09,766
Brazil,2022-01-10,832
Brazil,2022-01-11,848
Brazil,2022-01-12,882
Brazil,2022-01-13,854
Brazil,2022-01-14,858
Brazil,2022-01-15,904
Brazil,2022-01-16,974
Brazil,2022-01-17,1034
Brazil,2022-01-18,1064
Brazil,2022-01-19,1075
Brazil,2022-01-20,1279
Brazil,2022-01-21,1484
Brazil,2022-01-22,1660
Brazil,2022-01-23,1767
Brazil,2022-01-24,1830
Brazil,2022-01-25,2052
Brazil,2022-01-26,2190
Brazil,2022-01-27,2326
Brazil,2022-01-28,2558
Brazil,2022-01-29,2880
Brazil,2022-01-30,3321
Brazil,2022-01-31,3723
Brazil,2022-02-01,3757
Brazil,2022-02-02,3782
Brazil,2022-02-03,4224
Brazil,2022-02-04,4547
Brazil,2022-02-05,4916
Brazil,2022-02-06,4610
Brazil,2022-02-07,5278
Brazil,2022-02-08,5339
Brazil,2022-02-09,5483
Brazil,2022-02-10,5743
Brazil,2022-02-11,6114
Brazil,2022-02-12,6016
Brazil,2022-02-13,6658
Brazil,2022-02-14,6246
Brazil,2022-02-15,6169
Brazil,2022-02-16,6214
Brazil,2022-02-17,5879
Brazil,2022-02-18,5700
Brazil,2022-02-19,5885
Brazil,2022-02-20,5877
Brazil,2022-02-21,5832
Brazil,2022-02-22,5924
Brazil,2022-02-23,5769
Brazil,2022-02-24,5731
Brazil,2022-02-25,5645
Brazil,2022-02-26,5488
Brazil,2022-02-27,4361
Brazil,2022-02-28,5033
Brazil,2022-03-01,4848
Brazil,2022-03-02,4729
Brazil,2022-03-03,4210
Brazil,2022-03-04,3581
Brazil,2022-03-05,3188
Brazil,2022-03-06,3865
Brazil,2022-03-07,3014
Brazil,2022-03-08,3009
Brazil,2022-03-09,3008
Brazil,2022-03-10,3199
Brazil,2022-03-11,3498
Brazil,2022-03-12,3508
Brazil,2022-03-13,3301
Brazil,2022-03-14,3018
Brazil,2022-03-15,2935
Brazil,2022-03-16,2908
Brazil,2022-03-17,2756
Brazil,2022-03-18,2442
Brazil,2022-03-19,2339
Brazil,2022-03-20,2242
Brazil,2022-03-21,2157
Brazil,2022-03-22,2127
Brazil,2022-03-23,2053
Brazil,2022-03-24,2111
Brazil,2022-03-25,2058
Brazil,2022-03-26,1885
Brazil,2022-03-27,1768
Brazil,2022-03-28,1464
Brazil,2022-03-29,1674
Brazil,2022-03-30,1654
Brazil,2022-03-31,1545
Brazil,2022-04-01,1506
Brazil,2022-04-02,1447
Brazil,2022-04-03,1436
Brazil,2022-04-04,1542
Brazil,2022-04-05,1268
Brazil,2022-04-06,1356
Brazil,2022-04-07,1287
Brazil,2022-04-08,1219
Brazil,2022-04-09,1216
Brazil,2022-04-10,1120
Brazil,2022-04-11,1112
Brazil,2022-04-12,1111
Brazil,2022-04-13,1015
Brazil,2022-04-14,965
Brazil,2022-04-15,933
Brazil,2022-04-16,823
Brazil,2022-04-17,785
Brazil,2022-04-18,718
Brazil,2022-04-19,702
Brazil,2022-04-20,699
Brazil,2022-04-21,658
Brazil,2022-04-22,758
Brazil,2022-04-23,710
Brazil,2022-04-24,650
Brazil,2022-04-25,672
Brazil,2022-04-26,686
Brazil,2022-04-27,696
Brazil,2022-04-28,715
Brazil,2022-04-29,697
Brazil,2022-04-30,719
Brazil,2022-05-01,853
Brazil,2022-05-02,887
Brazil,2022-05-03,867
Brazil,2022-05-04,880
Brazil,2022-05-05,828
Brazil,2022-05-06,648
Brazil,2022-05-07,671
Brazil,2022-05-08,681
Brazil,2022-05-09,629
Brazil,2022-05-10,626
Brazil,2022-05-11,590
Brazil,2022-05-12,696
Brazil,2022-05-13,757
Brazil,2022-05-14,745
Brazil,2022-05-15,689
Brazil,2022-05-16,746
Brazil,2022-05-17,779
Brazil,2022-05-18,795
Brazil,2022-05-19,826
Brazil,2022-05-20,803
Brazil,2022-05-21,792
Brazil,2022-05-22,713
Brazil,2022-05-23,656
Brazil,2022-05-24,709
Brazil,2022-05-25,679
Brazil,2022-05-26,689
Brazil,2022-05-27,718
Brazil,2022-05-28,747
Brazil,2022-05-29,826
Brazil,2022-05-30,863
Brazil,2022-05-31,826
Brazil,2022-06-01,850
Brazil,2022-06-02,771
Brazil,2022-06-03,764
Brazil,2022-06-04,748
Brazil,2022-06-05,652
Brazil,2022-06-06,606
Brazil,2022-06-07,552
Brazil,2022-06-08,525
Brazil,2022-06-09,672
Brazil,2022-06-10,846
Brazil,2022-06-11,862
Brazil,2022-06-12,989
Brazil,2022-06-13,1077
Brazil,2022-06-14,1105
Brazil,2022-06-15,1139
Brazil,2022-06-16,1006
Brazil,2022-06-17,1046
Brazil,2022-06-18,1054
Brazil,2022-06-19,956
Brazil,2022-06-20,936
Brazil,2022-06-21,955
Brazil,2022-06-22,981
Brazil,2022-06-23,1036
Brazil,2022-06-24,837
Brazil,2022-06-25,1051
Brazil,2022-06-26,1313
Brazil,2022-06-27,1359
Brazil,2022-06-28,1340
Brazil,2022-06-29,1371
Brazil,2022-06-30,1458
Brazil,2022-07-01,1595
Brazil,2022-07-02,1521
Brazil,2022-07-03,1471
Brazil,2022-07-04,1489
Brazil,2022-07-05,1506
Brazil,2022-07-06,1501
Brazil,2022-07-07,1581
Brazil,2022-07-08,1665
Brazil,2022-07-09,1657
Brazil,2022-07-10,1639
Brazil,2022-07-11,1696
Brazil,2022-07-12,1643
Brazil,2022-07-13,1725
Brazil,2022-07-14,1673
Brazil,2022-07-15,1692
Brazil,2022-07-16,1706
Brazil,2022-07-17,1751
Brazil,2022-07-18,1741
Brazil,2022-07-19,1796
Brazil,2022-07-20,1760
Brazil,2022-07-21,1769
Brazil,2022-07-22,1735
Brazil,2022-07-23,1707
Brazil,2022-07-24,1396
Brazil,2022-07-25,1632
Brazil,2022-07-26,1614
Brazil,2022-07-27,1625
Brazil,2022-07-28,1623
Brazil,2022-07-29,1587
Brazil,2022-07-30,1583
Brazil,2022-07-31,1827
Brazil,2022-08-01,1559
Brazil,2022-08-02,1550
Brazil,2022-08-03,1572
Brazil,2022-08-04,1516
Brazil,2022-08-05,1471
Brazil,2022-08-06,1467
Brazil,2022-08-07,1445
Brazil,2022-08-08,1453
Brazil,2022-08-09,1482
Brazil,2022-08-10,1451
